书名,作者,归属场景
100 Things Every Designer Needs to Know About People,Susan Weinschenk,ui_ux_review
20世纪时尚史,—,fashion_styling
3D 渲染与工作站配置,专著,digital_office
3岁决定孩子的一生,蒙台梭利,child_education
4S店销售套路拆解,—,car_purchase
5 秒法则,梅尔·罗宾斯,time_productivity
A Is for Admission,Michele Hernández,study_abroad
A Manual of Style for Contract Drafting,Kenneth Adams,contract_review
A Mind for Numbers(学习之道),Barbara Oakley,career_transition;study_abroad
A Pattern Language,Christopher Alexander,construction_materials
A Practical Wedding Planner,Meg Keene,wedding_planning
A Practical Wedding(务实婚礼),Meg Keene,wedding_planning
A Rulebook for Arguments(论证规则),Anthony Weston,debate_speech
A Time of Gifts(在赠予的时光里),Patrick Leigh Fermor,travel_deep;travel_planning
A/B 测试与转化优化,专著,ecommerce_ops
AARRR 海盗指标实务,专著,data_analytics
AATCC/ISO 染色牢度测试标准,AATCC / ISO,textiles
ABRSM/RCM 考级曲目大纲,—,music_learning
ACSM 运动测试与运动处方指南,ACSM,chronic_disease;fitness_plan;health_checkup;nutrition_fitness
ADR 多元纠纷解决机制,专著,contract_review
AHA 婴幼儿心肺复苏指南,AHA,parenting_baby
AI Engineering,Chip Huyen,prompt_engineering
AI 红队测试手册,—,prompt_engineering
API RP 2A 海洋平台规范,API,shipbuilding_marine
AS9100 航空航天质量管理体系,—,aerospace
AUTOSAR架构,—,automotive
About Face 3/4(交互设计精髓),Alan Cooper,ui_ux_review
About Face 4:交互设计精髓,Alan Cooper 等,product_manager;ui_ux_review
About Face(交互设计精髓 英文原版),Alan Cooper,ui_ux_review
Accelerate,Forsgren 等,program_management
Actionable Gamification,Yu-kai Chou,board_game
Active Portfolio Management(主动投资组合管理),Grinold & Kahn,stock_trading
Advances in Financial Machine Learning,Marcos López de Prado,stock_trading
Aeroelasticity,Bisplinghoff,aerospace
Against the Gods(与天为敌·风险史),Peter Bernstein,contract_review
Agent 设计模式(ReAct/Reflexion 论文),—,prompt_engineering
Agile Estimating and Planning,Mike Cohn,product_manager
Aircraft Structures for Engineering Students,T.H.G. Megson,aerospace
Amazon SEO 与 A9 算法解析,专著,cross_border
American Accent Training,Ann Cook,language_learning
An Introduction to Combustion,Stephen R. Turns,aerospace
Analysis and Design of Flight Vehicle Structures,Bruhn,aerospace
Annals of the Former World(地质科普),约翰·麦克菲,mining_extraction
Anthropic Prompt Engineering Docs(官方),Anthropic,prompt_engineering
Antifragile,Nassim Taleb,career_transition;contract_review
Asking the Right Questions(学会提问),Browne & Keeley,debate_speech
Asset Allocation(资产配置),Roger Gibson,tax_insurance
Atomic Design,Brad Frost,ui_ux_review
Atomic Habits,James Clear,career_transition;time_productivity
Attached(依恋),Levine & Heller,mental_wellness
BGG 年度榜单整理,—,board_game
BIM 技术概论,专业教材,construction_materials
Bargaining for Advantage,Richard Shell,contract_review;dispute_rights
Biochemistry(Lehninger 生物化学原理),Nelson & Cox,pharma_biomfg
Bird by Bird(关于写作),Anne Lamott,study_abroad;writing_polish
Blue Ocean Strategy(蓝海战略),金/莫博涅,cross_border;ecommerce_ops
Bobby Fischer Teaches Chess,Bobby Fischer 等,board_game
Braunwald心脏病学,Braunwald,family_doctor
Build a Large Language Model (From Scratch),Sebastian Raschka,prompt_engineering
Building Blocks of Tabletop Game Design,Engelstein & Shalev,board_game
Building Construction Illustrated,Francis D.K. Ching,construction_materials
Building LLM Powered Applications,Valentina Alto,prompt_engineering
Building Microservices,Sam Newman,program_management
Building a StoryBrand(故事力品牌),Donald Miller,cross_border;ecommerce_ops;private_domain;resume_interview;seo_growth;short_video
CAN总线原理与应用,—,automotive
CCS 钢质海船入级规范,中国船级社,shipbuilding_marine
CE 机械指令,EU,machinery
CE/FCC/UL 产品认证指南,专著,cross_border
CFA Curriculum(三级),CFA Institute,learning_planning
CFA Schweser Notes,Kaplan,learning_planning
CMOS VLSI 设计,Weste & Harris,electronics_semiconductor
CPA 注册会计师统编教材,中注协,learning_planning
CRS 金融账户涉税信息自动交换标准,OECD,tax_insurance
CSS Secrets(CSS 揭秘),Lea Verou,ui_ux_review
CTD 申报资料撰写,—,pharma_biomfg
Characteristics of Games,"Elias, Garfield, Gutschera",board_game
Chemical Reaction Engineering,Levenspiel,chemical_industry
Child Development,Berk,child_education
Chip War(原版),Chris Miller,electronics_semiconductor
Clean Code,Robert C. Martin,product_manager;program_management
Code Complete,Steve McConnell,program_management
Code(编码:隐匿在计算机软硬件背后的语言),Charles Petzold,digital_office
College Essay Essentials,Ethan Sawyer,study_abroad
Colour Physics for Industry,Roderick McDonald,textiles
Common Data Set 院校录取数据,各院校官方,learning_planning
Complications(医生的修炼),Atul Gawande,family_doctor
Computer Organization and Design(计算机组成与设计),Patterson & Hennessy,digital_office
"Concrete: Microstructure, Properties, and Materials",Mehta & Monteiro,construction_materials
Construction Project Management,Gould,construction_materials
Consumer Reports 车评方法,—,car_purchase
Contagious(疯传),Jonah Berger,cross_border;ecommerce_ops;private_domain;seo_growth;short_video
Continuous Delivery,Humble & Farley,program_management
Cooking for Geeks,Jeff Potter,cooking_recipe
Core Web Vitals 官方文档,Google 官方,seo_growth
Cosmetic Dermatology(化妆品皮肤科学),Leslie Baumann,skincare_beauty
Coulson & Richardson's Chemical Engineering Design,Coulson & Richardson,chemical_industry
Cracking the Coding Interview,Gayle McDowell,resume_interview
Cracking the PM Interview,McDowell & Bavaro,resume_interview
Cradle to Cradle(从摇篮到摇篮),McDonough & Braungart,construction_materials
Cribsheet(育儿真相),Emily Oster,family_doctor
Crossing the Chasm(跨越鸿沟),Geoffrey Moore,cross_border;product_manager
Crucial Conversations(关键对话),Kerry Patterson 等,dispute_rights;presentation_skills
DNV/ABS 海洋平台规范,DNV / ABS,shipbuilding_marine
DO-178C 机载软件适航标准,—,aerospace
DSM-5 精神障碍诊断与统计手册,APA,family_doctor;mental_wellness
Database Internals,Alex Petrov,program_management
Deep Learning(花书),Goodfellow 等,prompt_engineering
Deep Work(深度工作),Cal Newport,time_productivity
Design Systems(实践指南),Alla Kholmatova,ui_ux_review
Design of Reinforced Concrete,McCormac,construction_materials
Designing Data-Intensive Applications(DDIA),Martin Kleppmann,data_analytics;product_manager;program_management;seo_growth
Designing Interfaces(交互设计模式),Jenifer Tidwell,ui_ux_review
Designing Machine Learning Systems,Chip Huyen,prompt_engineering
Designing Your Life,Burnett & Evans,career_transition
Difficult Conversations(高难度对话),Douglas Stone 等,dispute_rights
Digital Marketing,Dave Chaffey,seo_growth
Dirt 文明的侵蚀,戴维·蒙哥马利,modern_agriculture
Dirt: The Erosion of Civilizations(文明的侵蚀),戴维·蒙哥马利,modern_agriculture
Do No Harm(医生的抉择),Henry Marsh,family_doctor
Domain-Driven Design,Eric Evans,program_management
Don't Make Me Think(点石成金),Steve Krug,ecommerce_ops;product_manager;program_management;seo_growth;ui_ux_review
"Don't Make Me Think, Revisited(点石成金)",Steve Krug,ui_ux_review
Drafting Contracts,Tina Stark,contract_review
Dreyer's English,Benjamin Dreyer,writing_polish
Drive(驱动力),Daniel Pink,child_education
Dynamics of Offshore Structures,James Wilson,shipbuilding_marine
EDA 原理与算法,—,electronics_semiconductor
ETL 数据仓库技术,专著,data_analytics
"Eats, Shoots & Leaves(标点的艺术)",Lynne Truss,writing_polish
Elements of Chemical Reaction Engineering,H. Scott Fogler,chemical_industry
Eloquent JavaScript,Marijn Haverbeke,program_management
Empowered,Marty Cagan,product_manager
English Grammar in Use,Raymond Murphy,language_learning
English Idioms in Use,剑桥,language_learning
English Pronunciation in Use,剑桥,language_learning
Escaping the Build Trap,Melissa Perri,product_manager
Essentialism(精要主义),Greg McKeown,time_productivity
Essentials of Classic Italian Cooking,Marcella Hazan,cooking_recipe
Eurogames,Stewart Woods,board_game
Evaluating Machine Learning Models,Alice Zheng (O'Reilly),prompt_engineering
Everybody Writes,Ann Handley,seo_growth;writing_polish
FMEA 失效模式与影响分析,—,aerospace
FMEA 潜在失效模式与影响分析,—,machinery
FTA 故障树分析,—,aerospace
FTO自由实施分析实务,—,ip_patent
Face Forward,Kevyn Aucoin,skincare_beauty
Fashionopolis(快时尚的代价),Dana Thomas,textiles
Fatigue Handbook,Almar-Næss,shipbuilding_marine
Fitzpatrick皮肤病学,费茨帕特里克,skincare_beauty
Flow(心流),Mihaly Csikszentmihalyi,time_productivity
Fluent Forever 流利永久,加布里埃尔·怀纳,language_learning
Four Thousand Weeks(四千周/时间观),Oliver Burkeman,time_productivity;travel_deep;travel_planning
Full Catastrophe Living(多舛的生命·正念减压),Jon Kabat-Zinn,sleep_health
Fundamentals of Aerodynamics,J.D. Anderson,aerospace
Fundamentals of Power Electronics,Erickson,energy_power
Fundamentals of Software Architecture,Richards & Ford,program_management
Fundamentals of Vehicle Dynamics,Thomas D. Gillespie,automotive
GA4 官方文档,Google 官方,seo_growth
GB 18401 国家纺织产品基本安全技术规范,国标,textiles
GB 31701 婴幼儿及儿童纺织产品安全规范,国标,textiles
GMAT Official Guide,GMAC 官方,study_abroad
GPS原理与应用,—,aerospace
GRE 3000 核心词汇,陈琦 等,learning_planning
GRE General Test 官方指南,ETS 官方,study_abroad
GRE 官方指南,ETS,language_learning
GRE/SAT 官方指南,ETS/College Board,learning_planning
Gas Turbine Theory,"Cohen, Rogers, Saravanamuttoo",aerospace
Getting Past No(突破拒绝),威廉·尤里,contract_review;dispute_rights
Getting Things Done(搞定/GTD),David Allen,time_productivity
Getting to Yes,"Fisher, Ury & Patton",car_purchase;contract_review
Give and Take,亚当·格兰特,career_transition
Good Charts(HBR),Scott Berinato,presentation_skills
Goodman & Gilman 治疗学的药理学基础,Brunton 等,pharma_biomfg
Goodman & Gilman 药理学基础,—,chronic_disease
Google EEAT 质量评估指南,Google 官方,seo_growth
Google SEO入门指南,Google 官方,seo_growth
Google 软件测试之道,Whittaker 等,program_management
Google 链接最佳实践/垃圾链接政策,Google 官方,seo_growth
Grit(坚毅),Angela Duckworth,child_education
HACCP 与厨房卫生管理,专著,cooking_recipe
HACCP 原理与应用,—,food_processing
HAZOP 分析方法与应用,—,chemical_industry
HELM/MMLU 评测基准文档,Stanford CRFM 等,prompt_engineering
HVAC Systems Design Handbook,专著,construction_materials
Hacking Growth(增长黑客 英文),Sean Ellis,private_domain
Handbook of Offshore Engineering,Subrata Chakrabarti,shipbuilding_marine
Handbook of Textile Fibres,J. Gordon Cook,textiles
Hands-On Large Language Models,Alammar & Grootendorst,prompt_engineering
Hands-On Machine Learning(2nd),Aurélien Géron,prompt_engineering
Hazzard 老年医学,Halter 等,elder_care
High Output Management(格鲁夫给经理人的第一课),安迪·格鲁夫,startup_advisory
High Performance Browser Networking,Ilya Grigorik,program_management;seo_growth
Hobby Games: The 100 Best,—,board_game
Home Buying Kit For Dummies,Tyson & Brown,rent_buy_house
Hooked(上瘾),Nir Eyal,cross_border;ecommerce_ops;seo_growth;short_video;time_productivity;ui_ux_review
How Buildings Learn,Stewart Brand,construction_materials
How Languages are Learned,Lightbown & Spada,language_learning
How Not to Die,Michael Greger,chronic_disease;cooking_recipe;dining_recommendation
How Not to Die 救命饮食,迈克尔·格雷格,health_checkup
How to Lie with Statistics(统计数字会撒谎),Darrell Huff,data_analytics
How to Measure Anything(数据化决策),Douglas Hubbard,data_analytics
How to Speak Cat,National Geographic,pet_care
How to Take Smart Notes(卡片笔记写作法),Sönke Ahrens,time_productivity
How to Talk So Kids Will Listen,Faber & Mazlish,child_education
How to Win Every Argument(如何反驳每一种论证),Madsen Pirie,debate_speech
How to Win Friends and Influence People(人性的弱点),戴尔·卡耐基,debate_speech
How to Win Friends(人性的弱点),戴尔·卡耐基,debate_speech
Human Compatible,Stuart Russell,prompt_engineering
Human Interface Guidelines,Apple,ui_ux_review
IACS 共同结构规范(CSR),IACS,shipbuilding_marine
IACS 统一要求(UR),IACS,shipbuilding_marine
IATA 行李与中转规则手册,IATA,travel_planning
ICH Q7-Q12 指南,ICH,pharma_biomfg
ICH 指导原则全集,ICH,pharma_biomfg
IELTS 剑桥真题,Cambridge 官方,study_abroad
IMO GHG 脱碳战略(绿色船舶),IMO,shipbuilding_marine
IMO Load Lines/Tonnage 公约,IMO,shipbuilding_marine
IMO MARPOL 公约,IMO,shipbuilding_marine
IMO SOLAS 公约,IMO,shipbuilding_marine
INCI 国际化妆品原料命名手册,—,skincare_beauty
INCOTERMS 2020 解读,ICC,cross_border
ISM/ISPS 规则,IMO,shipbuilding_marine
ISO 105 色牢度系列标准,ISO,textiles
ISO 14001 环境管理体系,—,chemical_industry
ISO 9001 质量管理体系,—,aerospace
ISO21448预期功能安全,—,automotive
ISO26262功能安全标准,—,automotive
ISSN 运动营养立场声明合集,ISSN,fitness_plan
