书名,作者,豆瓣,Goodreads,类,归属场景
100 Things Every Designer Needs to Know About People,Susan Weinschenk,—,4.09(6269人),G,ui_ux_review
20世纪时尚史,—,—,—,B,fashion_styling
3D 渲染与工作站配置,专著,—,—,B,digital_office
3岁决定孩子的一生,蒙台梭利,8.8,—,A,child_education
4S店销售套路拆解,—,—,—,B,car_purchase
5 秒法则,梅尔·罗宾斯,—,3.85(5万),B,time_productivity
A Is for Admission,Michele Hernández,—,—,B,study_abroad
A Manual of Style for Contract Drafting,Kenneth Adams,—,—,B,contract_review
A Mind for Numbers(学习之道),Barbara Oakley,8.2,3.95(列 B),G,career_transition;study_abroad
A Pattern Language,Christopher Alexander,—,4.42,G,construction_materials
A Practical Wedding Planner,Meg Keene,—,4.0+(详 GR 页),G,wedding_planning
A Practical Wedding(务实婚礼),Meg Keene,—,4.20(2776人),G,wedding_planning
A Rulebook for Arguments(论证规则),Anthony Weston,—,4.04,G,debate_speech
A Time of Gifts(在赠予的时光里),Patrick Leigh Fermor,—,4.03(9973人),G,travel_deep;travel_planning
A/B 测试与转化优化,专著,—,—,B,ecommerce_ops
AARRR 海盗指标实务,专著,—,—,B,data_analytics
AATCC/ISO 染色牢度测试标准,AATCC / ISO,—,—,B,textiles
ABRSM/RCM 考级曲目大纲,—,—,—,B,music_learning
ACSM 运动测试与运动处方指南,ACSM,—,—,B,chronic_disease;fitness_plan;health_checkup;nutrition_fitness
ADR 多元纠纷解决机制,专著,—,—,B,contract_review
AHA 婴幼儿心肺复苏指南,AHA,—,—,B,parenting_baby
AI Engineering,Chip Huyen,—,4.40,G,prompt_engineering
AI 红队测试手册,—,—,—,B,prompt_engineering
API RP 2A 海洋平台规范,API,—,—,B,shipbuilding_marine
AS9100 航空航天质量管理体系,—,—,—,B,aerospace
AUTOSAR架构,—,—,—,B,automotive
About Face 3/4(交互设计精髓),Alan Cooper,,4.07(3529人),,ui_ux_review
About Face 4:交互设计精髓,Alan Cooper 等,8.8,—,A,product_manager;ui_ux_review
About Face(交互设计精髓 英文原版),Alan Cooper,,4.07(3529人),,ui_ux_review
Accelerate,Forsgren 等,—,4.16,G,program_management
Actionable Gamification,Yu-kai Chou,—,—,B,board_game
Active Portfolio Management(主动投资组合管理),Grinold & Kahn,—,4.12,G,stock_trading
Advances in Financial Machine Learning,Marcos López de Prado,—,4.13,G,stock_trading
Aeroelasticity,Bisplinghoff,—,—,B,aerospace
Against the Gods(与天为敌·风险史),Peter Bernstein,—,4.05,G,contract_review
Agent 设计模式(ReAct/Reflexion 论文),—,—,—,B,prompt_engineering
Agile Estimating and Planning,Mike Cohn,—,—,B,product_manager
Aircraft Structures for Engineering Students,T.H.G. Megson,—,4.22,G,aerospace
Amazon SEO 与 A9 算法解析,专著,—,—,B,cross_border
American Accent Training,Ann Cook,—,—,B,language_learning
An Introduction to Combustion,Stephen R. Turns,—,4.16,G,aerospace
Analysis and Design of Flight Vehicle Structures,Bruhn,—,—,B,aerospace
Annals of the Former World(地质科普),约翰·麦克菲,—,4.13(G),G,mining_extraction
Anthropic Prompt Engineering Docs(官方),Anthropic,—,—,B,prompt_engineering
Antifragile,Nassim Taleb,—,4.08,G,career_transition;contract_review
Asking the Right Questions(学会提问),Browne & Keeley,8.2,4.00,G,debate_speech
Asset Allocation(资产配置),Roger Gibson,—,—,B,tax_insurance
Atomic Design,Brad Frost,—,4.0,G,ui_ux_review
Atomic Habits,James Clear,—,4.36,G,career_transition;time_productivity
Attached(依恋),Levine & Heller,—,4.21,G,mental_wellness
BGG 年度榜单整理,—,—,—,B,board_game
BIM 技术概论,专业教材,—,—,B,construction_materials
Bargaining for Advantage,Richard Shell,—,3.89,B,contract_review;dispute_rights
Biochemistry(Lehninger 生物化学原理),Nelson & Cox,—,4.40,G,pharma_biomfg
Bird by Bird(关于写作),Anne Lamott,—,4.24,G,study_abroad;writing_polish
Blue Ocean Strategy(蓝海战略),金/莫博涅,7.9,3.99,G,cross_border;ecommerce_ops
Bobby Fischer Teaches Chess,Bobby Fischer 等,—,4.20,G,board_game
Braunwald心脏病学,Braunwald,—,—,B,family_doctor
Build a Large Language Model (From Scratch),Sebastian Raschka,—,—,B,prompt_engineering
Building Blocks of Tabletop Game Design,Engelstein & Shalev,—,—,B,board_game
Building Construction Illustrated,Francis D.K. Ching,—,4.31,G,construction_materials
Building LLM Powered Applications,Valentina Alto,—,4.00,G,prompt_engineering
Building Microservices,Sam Newman,—,4.08,G,program_management
Building a StoryBrand(故事力品牌),Donald Miller,8.0,4.32,G,cross_border;ecommerce_ops;private_domain;resume_interview;seo_growth;short_video
CAN总线原理与应用,—,—,—,B,automotive
CCS 钢质海船入级规范,中国船级社,—,—,B,shipbuilding_marine
CE 机械指令,EU,—,—,B,machinery
CE/FCC/UL 产品认证指南,专著,—,—,B,cross_border
CFA Curriculum(三级),CFA Institute,—,—,B,learning_planning
CFA Schweser Notes,Kaplan,—,—,B,learning_planning
CMOS VLSI 设计,Weste & Harris,—,—,B,electronics_semiconductor
CPA 注册会计师统编教材,中注协,—,—,B,learning_planning
CRS 金融账户涉税信息自动交换标准,OECD,—,—,B,tax_insurance
CSS Secrets(CSS 揭秘),Lea Verou,—,4.52(413人),G,ui_ux_review
CTD 申报资料撰写,—,—,—,B,pharma_biomfg
Characteristics of Games,"Elias, Garfield, Gutschera",—,4.07,G,board_game
Chemical Reaction Engineering,Levenspiel,—,—,B,chemical_industry
Child Development,Berk,—,—,B,child_education
Chip War(原版),Chris Miller,—,—,B,electronics_semiconductor
Clean Code,Robert C. Martin,—,4.35,G,product_manager;program_management
Code Complete,Steve McConnell,—,4.31,G,program_management
Code(编码:隐匿在计算机软硬件背后的语言),Charles Petzold,9.3,4.45,A/G,digital_office
